player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
Issah Abbas,gh GHA,FW,Mainz 05,19,1998,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,32,1986,17,17,"1,420",15.8,0,0,0,0,0,0,2,0,0.8,0.8,0.4,1.1,20,80,7,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.07,0.05,0.07,Matches
Amir Abrashi,al ALB,MF,Freiburg,28,1990,10,9,790,8.8,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,6,19,9,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Tyler Adams,us USA,MF,RB Leipzig,19,1999,10,8,721,8.0,0,2,2,0,0,0,0,0,0.1,0.1,1.0,1.1,19,64,12,0.00,0.25,0.25,0.00,0.25,0.01,0.13,0.13,0.01,0.13,Matches
Antonis Aidonis,de GER,DF,Stuttgart,17,2001,2,1,80,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Manuel Akanji,ch SUI,DF,Dortmund,23,1995,25,25,"2,205",24.5,1,0,1,1,0,0,1,0,0.5,0.5,0.6,1.1,24,122,11,0.04,0.00,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.04,Matches
Chadrac Akolo,cd COD,"MF,FW",Stuttgart,23,1995,16,5,525,5.8,0,1,1,0,0,0,0,0,0.9,0.9,0.5,1.4,14,14,40,0.00,0.17,0.17,0.00,0.17,0.16,0.08,0.24,0.16,0.24,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,23,1995,8,5,499,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,4,33,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kevin Akpoguma,ng NGA,DF,Hannover 96,23,1995,4,4,313,3.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
David Alaba,at AUT,DF,Bayern Munich,26,1992,31,29,"2,530",28.1,3,3,6,3,0,0,4,0,3.2,3.2,4.4,7.6,87,190,240,0.11,0.11,0.21,0.11,0.21,0.11,0.16,0.27,0.11,0.27,Matches
Lucas Alario,ar ARG,"FW,MF",Leverkusen,25,1992,27,11,"1,265",14.1,9,3,12,9,0,0,1,0,6.7,6.7,1.4,8.1,12,22,86,0.64,0.21,0.85,0.64,0.85,0.47,0.10,0.57,0.47,0.57,Matches
Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,27,1990,22,19,"1,660",18.4,1,3,4,1,0,0,3,1,0.3,0.3,1.5,1.8,34,71,75,0.05,0.16,0.22,0.05,0.22,0.02,0.08,0.10,0.02,0.10,Matches
Paco Alcácer,es ESP,FW,Dortmund,24,1993,26,11,"1,211",13.5,18,0,18,17,1,1,0,0,9.5,8.8,1.6,10.4,12,17,70,1.34,0.00,1.34,1.26,1.26,0.71,0.12,0.83,0.65,0.77,Matches
Thiago Alcántara,es ESP,MF,Bayern Munich,27,1991,30,26,"2,408",26.8,2,6,8,2,0,0,5,0,1.9,1.9,3.5,5.4,49,310,56,0.07,0.22,0.30,0.07,0.30,0.07,0.13,0.20,0.07,0.20,Matches
Allan,br BRA,MF,Eint Frankfurt,21,1997,4,2,176,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,4,3,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
Alfons Amade,de GER,MF,Hoffenheim,18,1999,1,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.59,0.59,0.59,Matches
Nadiem Amiri,de GER,MF,Hoffenheim,21,1996,13,10,754,8.4,3,1,4,3,0,0,1,0,2.2,2.2,1.4,3.5,22,50,36,0.36,0.12,0.48,0.36,0.48,0.26,0.16,0.42,0.26,0.42,Matches
Waldemar Anton,de GER,DF,Hannover 96,22,1996,34,34,"3,060",34.0,1,0,1,1,0,0,4,0,1.8,1.8,0.2,2.0,35,96,17,0.03,0.00,0.03,0.03,0.03,0.05,0.01,0.06,0.05,0.06,Matches
Dennis Aogo,de GER,MF,Stuttgart,31,1987,15,13,"1,025",11.4,0,0,0,0,0,0,1,0,0.5,0.5,1.4,1.9,12,38,13,0.00,0.00,0.00,0.00,0.00,0.04,0.13,0.17,0.04,0.17,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,29,1989,24,22,"1,891",21.0,2,7,9,2,0,0,3,0,1.4,1.4,3.4,4.8,27,207,63,0.10,0.33,0.43,0.10,0.43,0.07,0.16,0.23,0.07,0.23,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,24,1994,33,33,"2,872",31.9,2,6,8,2,0,0,7,0,2.7,2.7,4.3,7.0,41,141,83,0.06,0.19,0.25,0.06,0.25,0.09,0.13,0.22,0.09,0.22,Matches
Takuma Asano,jp JPN,"MF,FW",Hannover 96,23,1994,13,9,699,7.8,0,0,0,0,0,0,0,0,1.6,1.6,0.4,2.0,21,14,59,0.00,0.00,0.00,0.00,0.00,0.20,0.05,0.25,0.20,0.25,Matches
Santiago Ascacíbar,ar ARG,MF,Stuttgart,21,1997,27,27,"2,428",27.0,0,0,0,0,0,0,10,1,1.3,1.3,0.5,1.9,27,100,28,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
Simon Asta,de GER,DF,Augsburg,17,2001,1,1,90,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,2,3,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,21,1997,17,4,461,5.1,3,0,3,3,0,0,0,0,2.8,2.8,0.8,3.6,18,3,50,0.59,0.00,0.59,0.59,0.59,0.56,0.15,0.71,0.56,0.71,Matches
Ludwig Augustinsson,se SWE,DF,Werder Bremen,24,1994,34,34,"3,026",33.6,1,4,5,1,0,0,5,0,1.5,1.5,2.2,3.7,83,154,226,0.03,0.12,0.15,0.03,0.15,0.04,0.07,0.11,0.04,0.11,Matches
Kaan Ayhan,tr TUR,DF,Düsseldorf,23,1994,28,28,"2,449",27.2,4,1,5,4,0,0,10,0,2.3,2.3,0.4,2.7,31,96,12,0.15,0.04,0.18,0.15,0.18,0.08,0.02,0.10,0.08,0.10,Matches
Florian Baak,de GER,MF,Hertha BSC,19,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Holger Badstuber,de GER,DF,Stuttgart,29,1989,10,5,522,5.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Baier,de GER,MF,Augsburg,34,1984,33,33,"2,815",31.3,0,1,1,0,0,0,7,0,0.9,0.9,1.2,2.1,50,187,34,0.00,0.03,0.03,0.00,0.03,0.03,0.04,0.07,0.03,0.07,Matches
Leon Bailey,jm JAM,FW,Leverkusen,20,1997,29,21,"1,914",21.3,5,1,6,5,0,0,4,0,5.0,5.0,4.4,9.5,102,72,240,0.24,0.05,0.28,0.24,0.28,0.24,0.21,0.44,0.24,0.44,Matches
Marvin Bakalorz,de GER,MF,Hannover 96,28,1989,25,16,"1,470",16.3,1,0,1,1,0,0,5,0,0.8,0.8,0.6,1.4,17,29,40,0.06,0.00,0.06,0.06,0.06,0.05,0.04,0.09,0.05,0.09,Matches
Ridle Baku,de GER,MF,Mainz 05,20,1998,15,10,937,10.4,0,0,0,0,0,0,1,0,0.6,0.6,0.4,1.0,13,45,32,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
Philipp Bargfrede,de GER,"MF,DF",Werder Bremen,29,1989,15,13,"1,079",12.0,0,0,0,0,0,0,6,0,0.2,0.2,0.1,0.3,8,57,6,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,Matches
Aymen Barkok,ma MAR,MF,Düsseldorf,20,1998,12,4,510,5.7,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,8,25,24,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12,Matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,18,2000,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,3,0,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.08,0.02,0.08,Matches
Fin Bartels,de GER,"MF,FW",Werder Bremen,31,1987,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Robert Bauer,de GER,DF,Nürnberg,23,1995,22,19,"1,722",19.1,0,0,0,0,0,0,4,1,0.2,0.2,1.1,1.3,31,72,49,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,Matches
Oliver Baumann,de GER,GK,Hoffenheim,28,1990,33,33,"2,970",33.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
Timo Baumgartl,de GER,DF,Stuttgart,22,1996,18,18,"1,620",18.0,1,0,1,1,0,0,2,0,0.3,0.3,0.2,0.5,5,43,7,0.06,0.00,0.06,0.06,0.06,0.02,0.01,0.03,0.02,0.03,Matches
Julian Baumgartlinger,at AUT,MF,Leverkusen,30,1988,21,16,"1,559",17.3,0,1,1,0,0,0,2,0,0.6,0.6,0.6,1.2,21,111,25,0.00,0.06,0.06,0.00,0.06,0.04,0.03,0.07,0.04,0.07,Matches
Christoph Baumgartner,at AUT,MF,Hoffenheim,18,1999,2,1,85,0.9,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,9,5,1,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Hannover 96,21,1996,3,3,155,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,6,2,17,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.28,0.28,0.28,Matches
Ihlas Bebou,tg TOG,"MF,FW",Hannover 96,24,1994,12,12,"1,066",11.8,4,3,7,3,1,1,1,0,4.6,3.8,1.9,5.7,48,48,97,0.34,0.25,0.59,0.25,0.51,0.39,0.16,0.55,0.32,0.48,Matches
Uffe Bech,dk DEN,FW,Hannover 96,25,1993,2,0,19,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,3,1,4,0.00,0.00,0.00,0.00,0.00,0.00,3.20,3.20,0.00,3.20,Matches
Andreas Beck,de GER,DF,Stuttgart,31,1987,24,21,"1,776",19.7,0,2,2,0,0,0,2,0,0.7,0.7,1.4,2.1,15,63,48,0.00,0.10,0.10,0.00,0.10,0.04,0.07,0.11,0.04,0.11,Matches
Hanno Behrens,de GER,MF,Nürnberg,28,1990,30,30,"2,639",29.3,4,1,5,2,2,4,3,0,7.9,4.8,1.5,6.2,25,78,54,0.14,0.03,0.17,0.07,0.10,0.27,0.05,0.32,0.16,0.21,Matches
Ishak Belfodil,dz ALG,"FW,MF",Hoffenheim,26,1992,28,20,"1,863",20.7,16,3,19,16,0,0,3,0,12.3,12.3,5.1,17.4,63,30,210,0.77,0.14,0.92,0.77,0.92,0.59,0.25,0.84,0.59,0.84,Matches
Stefan Bell,de GER,DF,Mainz 05,26,1991,25,25,"2,250",25.0,0,0,0,0,0,0,7,0,1.6,1.6,1.2,2.8,24,129,8,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11,Matches
Karim Bellarabi,de GER,FW,Leverkusen,28,1990,19,14,"1,057",11.7,5,4,9,5,0,0,4,1,3.3,3.3,5.1,8.4,49,46,140,0.43,0.34,0.77,0.43,0.77,0.28,0.43,0.71,0.28,0.71,Matches
Lars Bender,de GER,"MF,DF",Leverkusen,29,1989,20,18,"1,361",15.1,1,4,5,1,0,0,2,0,1.1,1.1,1.3,2.5,16,95,65,0.07,0.26,0.33,0.07,0.33,0.07,0.09,0.16,0.07,0.16,Matches
Sven Bender,de GER,DF,Leverkusen,29,1989,27,25,"1,991",22.1,0,0,0,0,0,0,3,0,0.9,0.9,0.2,1.1,12,94,0,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
László Bénes,sk SVK,"MF,FW",M'Gladbach,20,1997,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nabil Bentaleb,dz ALG,MF,Schalke 04,23,1994,25,19,"1,792",19.9,3,0,3,0,3,3,4,0,3.5,1.1,0.9,2.0,42,101,39,0.15,0.00,0.15,0.00,0.00,0.18,0.05,0.22,0.06,0.10,Matches
Jordan Beyer,de GER,DF,M'Gladbach,18,2000,9,8,720,8.0,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,10,31,13,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06,Matches
Ermin Bičakčić,ba BIH,DF,Hoffenheim,28,1990,25,20,"1,790",19.9,1,2,3,1,0,0,0,0,1.5,1.5,0.7,2.2,47,133,4,0.05,0.10,0.15,0.05,0.15,0.07,0.03,0.11,0.07,0.11,Matches
Leonardo Bittencourt,de GER,MF,Hoffenheim,24,1993,21,13,"1,069",11.9,1,3,4,1,0,0,1,0,2.6,2.6,2.8,5.4,48,53,66,0.08,0.25,0.34,0.08,0.34,0.22,0.24,0.46,0.22,0.46,Matches
Pablo de Blasis,ar ARG,FW,Mainz 05,30,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,3,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches
Danny Blum,de GER,MF,Eint Frankfurt,27,1991,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jérôme Boateng,de GER,DF,Bayern Munich,29,1988,20,19,"1,693",18.8,0,2,2,0,0,0,1,0,0.6,0.6,1.0,1.7,10,168,2,0.00,0.11,0.11,0.00,0.11,0.03,0.05,0.09,0.03,0.09,Matches
Adam Bodzek,de GER,"MF,DF",Düsseldorf,32,1985,21,20,"1,596",17.7,0,1,1,0,0,0,5,1,0.1,0.1,1.1,1.2,4,57,3,0.00,0.06,0.06,0.00,0.06,0.00,0.06,0.07,0.00,0.07,Matches
Jean-Paul Boëtius,nl NED,MF,Mainz 05,24,1994,30,25,"2,127",23.6,4,7,11,4,0,0,8,0,2.6,2.6,4.9,7.5,45,117,126,0.17,0.30,0.47,0.17,0.47,0.11,0.21,0.32,0.11,0.32,Matches
Robin Bormuth,de GER,DF,Düsseldorf,22,1995,10,6,616,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,19,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nassim Boujellab,ma MAR,MF,Schalke 04,19,1999,7,4,378,4.2,0,1,1,0,0,0,0,0,0.7,0.7,0.5,1.1,15,16,17,0.00,0.24,0.24,0.00,0.24,0.16,0.11,0.27,0.16,0.27,Matches
Julian Brandt,de GER,"MF,FW",Leverkusen,22,1996,33,30,"2,666",29.6,7,11,18,7,0,0,0,0,8.0,8.0,9.3,17.3,107,198,291,0.24,0.37,0.61,0.24,0.61,0.27,0.31,0.58,0.27,0.58,Matches
Fabian Bredlow,de GER,GK,Nürnberg,23,1995,13,12,"1,128",12.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Josip Brekalo,hr CRO,"FW,MF",Wolfsburg,20,1998,25,15,"1,415",15.7,3,3,6,3,0,0,2,0,2.3,2.3,1.4,3.7,72,78,111,0.19,0.19,0.38,0.19,0.38,0.14,0.09,0.23,0.14,0.23,Matches
Joshua Brenet,nl NED,DF,Hoffenheim,24,1994,14,10,906,10.1,2,1,3,2,0,0,0,0,1.7,1.7,1.9,3.6,31,43,82,0.20,0.10,0.30,0.20,0.30,0.17,0.19,0.36,0.17,0.36,Matches
John Brooks,us USA,DF,Wolfsburg,25,1993,29,29,"2,610",29.0,3,2,5,3,0,0,7,0,2.6,2.6,0.8,3.4,27,135,3,0.10,0.07,0.17,0.10,0.17,0.09,0.03,0.12,0.09,0.12,Matches
Daniel Brosinski,de GER,DF,Mainz 05,30,1988,26,26,"2,203",24.5,3,5,8,0,3,3,2,0,3.1,0.7,4.1,4.9,47,98,112,0.12,0.20,0.33,0.00,0.20,0.13,0.17,0.30,0.03,0.20,Matches
Bruma,pt POR,MF,RB Leipzig,23,1994,14,6,553,6.1,1,1,2,1,0,1,1,0,1.5,0.7,1.3,2.0,26,35,43,0.16,0.16,0.33,0.16,0.33,0.24,0.22,0.46,0.11,0.33,Matches
Jeffrey Bruma,nl NED,DF,Schalke 04,26,1991,9,7,624,6.9,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.1,7,34,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Jacob Bruun Larsen,dk DEN,FW,Dortmund,19,1998,24,16,"1,265",14.1,2,2,4,2,0,0,0,0,3.3,3.3,3.5,6.9,38,39,138,0.14,0.14,0.28,0.14,0.28,0.24,0.25,0.49,0.24,0.49,Matches
Niko Bungert,de GER,DF,Mainz 05,31,1986,7,3,284,3.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,5,0,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
Guido Burgstaller,at AUT,FW,Schalke 04,29,1989,24,17,"1,526",17.0,4,0,4,4,0,0,4,0,5.9,5.9,1.4,7.2,23,22,111,0.24,0.00,0.24,0.24,0.24,0.35,0.08,0.43,0.35,0.43,Matches
Jonathan Burkardt,de GER,"FW,MF",Mainz 05,18,2000,4,4,259,2.9,0,0,0,0,0,0,0,0,0.8,0.8,0.5,1.4,3,5,17,0.00,0.00,0.00,0.00,0.00,0.28,0.19,0.47,0.28,0.47,Matches
Roman Bürki,ch SUI,GK,Dortmund,27,1990,32,32,"2,880",32.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gaëtan Bussmann,fr FRA,DF,Mainz 05,27,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jakub Błaszczykowski,pl POL,MF,Wolfsburg,32,1985,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Caiuby,br BRA,"MF,FW",Augsburg,30,1988,14,10,"1,006",11.2,1,1,2,1,0,0,3,0,2.2,2.2,1.0,3.2,29,31,82,0.09,0.09,0.18,0.09,0.18,0.20,0.09,0.28,0.20,0.28,Matches
Daniel Caligiuri,it ITA,"DF,FW",Schalke 04,30,1988,31,31,"2,756",30.6,7,3,10,3,4,6,9,0,6.5,1.8,5.4,7.2,107,155,141,0.23,0.10,0.33,0.10,0.20,0.21,0.18,0.39,0.06,0.24,Matches
Jan-Ingwer Callsen-Bracker,de GER,DF,Augsburg,33,1984,1,0,7,0.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.86,0.86,0.86,Matches
Ignacio Camacho,es ESP,MF,Wolfsburg,28,1990,6,6,540,6.0,0,0,0,0,0,0,3,0,0.4,0.4,0.5,0.9,3,43,2,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.15,0.07,0.15,Matches
Jonas Carls,de GER,FW,Schalke 04,21,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Koen Casteels,be BEL,GK,Wolfsburg,26,1992,26,26,"2,295",25.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gonzalo Castro,de GER,MF,Stuttgart,31,1987,25,19,"1,692",18.8,2,4,6,2,0,0,4,0,1.2,1.2,2.2,3.4,24,92,37,0.11,0.21,0.32,0.11,0.32,0.06,0.11,0.18,0.06,0.18,Matches
Timothy Chandler,us USA,DF,Eint Frankfurt,28,1990,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.47,0.00,0.47,Matches
Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,31,1987,16,12,997,11.1,0,1,1,0,0,0,3,0,0.5,0.5,0.3,0.8,14,57,14,0.00,0.09,0.09,0.00,0.09,0.04,0.03,0.07,0.04,0.07,Matches
Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,22,1996,21,17,"1,378",15.3,6,4,10,6,0,0,2,0,4.0,4.0,4.0,8.0,99,55,244,0.39,0.26,0.65,0.39,0.65,0.26,0.26,0.52,0.26,0.52,Matches
Sergio Córdova,ve VEN,FW,Augsburg,20,1997,20,3,531,5.9,3,0,3,3,0,0,1,0,1.0,1.0,0.2,1.2,8,11,27,0.51,0.00,0.51,0.51,0.51,0.17,0.03,0.20,0.17,0.20,Matches
Danny da Costa,de GER,"DF,FW",Eint Frankfurt,25,1993,34,34,"3,033",33.7,2,4,6,2,0,0,1,0,3.6,3.6,5.4,9.0,76,88,185,0.06,0.12,0.18,0.06,0.18,0.11,0.16,0.27,0.11,0.27,Matches
Mickaël Cuisance,fr FRA,MF,M'Gladbach,18,1999,11,1,279,3.1,0,1,1,0,0,0,3,0,0.4,0.4,0.3,0.7,8,20,19,0.00,0.32,0.32,0.00,0.32,0.14,0.09,0.23,0.14,0.23,Matches
Matheus Cunha,br BRA,"FW,MF",RB Leipzig,19,1999,25,9,853,9.5,2,0,2,2,0,0,1,0,4.2,4.2,0.7,4.9,21,30,75,0.21,0.00,0.21,0.21,0.21,0.44,0.08,0.52,0.44,0.52,Matches
